,symbol,synonymSymbol,scientificNameWithAuthor,commonName,family
51130,LUARL5,,Lupinus argenteus Pursh ssp. argenteus var. laxiflorus (Douglas ex Lindl.) Dorn,silvery lupine,Fabaceae
88997,TRPAM,,Trifolium parryi A. Gray ssp. montanense (Rydb.) J.M. Gillett,Parry's clover,Fabaceae
75323,RUCA4,,Ruellia caroliniensis (J.F. Gmel.) Steud.,Carolina wild petunia,Acanthaceae
31523,EPCAG,,Epilobium canum (Greene) P.H. Raven ssp. garrettii (A. Nelson) P.H. Raven,Garrett's firechalice,Onagraceae
82324,SOSO5,,×Sorbaronia sorbifolia (Poir.) C.K. Schneid.,,Rosaceae
54691,MEOL61,,Melanelia olivaceoides (Krog) Essl.,melanelia lichen,Parmeliaceae
37830,GAVI,GATE5,Galium texanum Scheele,,
61999,PASU4,,Passiflora subpeltata Ortega,white passionflower,Passifloraceae
43508,HYTET2,SEPU5,Sedum purpureum (L.) Schult.,,
15178,CANEN,CANE22,Calamintha nepetoides Jord.,,
42619,HUSED,LYSEA3,Lycopodium selago L. ssp. arcticum (Grossh.) Tolm.,,
80084,SEMA11,DIME4,Ditremexa medsgeri (Shafer) Britton & Rose,,
61935,PASP,POSP11,Polypteris sphacelata (Nutt. ex Torr.) Trel.,,
16618,CATOP,,Catopsis Griseb.,strap airplant,Bromeliaceae
17580,CEPUP6,,Centromadia pungens (Hook. & Arn.) Greene ssp. pungens,common tarweed,Asteraceae
47151,LECIN,,Leptosiphon ciliatus (Benth.) Jeps. ssp. neglectus (Greene) J.M. Porter & L.A. Johnson,whiskerbrush,Polemoniaceae
26900,DEOB70,TOOB3,Tortula obtusifolia (Schwägr.) Mathieu,,
91468,VIMI9,,Vicia michauxii Spreng.,,Fabaceae
85704,TAOFC,TAAR4,Taraxacum arctogenum Dahlst.,,
82230,SORUR2,SOSC4,"Solidago scabra Muhl. ex Willd., non Muhl.",,
47113,LECAP,LESU24,Lecanora subpallida G. Merr.,,
84357,STSE9,RHSE7,Rhynchostegium serrulatum (Hedw.) A. Jaeger,,
19105,CHROZ,,Chrozophora A. Juss.,chrozophora,Euphorbiaceae
58123,NIQUQ,NIBIQ,Nicotiana bigelovii (Torr.) S. Watson var. quadrivalvis (Pursh) Eastw.,,
62873,PEHA12,,Penstemon haydenii S. Watson,blowout beardtongue,Scrophulariaceae
81180,SIMAV,,Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. virgata (Howell) C.L. Hitchc.,dwarf checkerbloom,Malvaceae
41643,HEWH,YUWHP2,Yucca whipplei Torr. ssp. percursa Haines,,
88109,TRCAW2,TRWO4,Tripterocalyx wootonii Standl.,,
53602,MAPR3,GOPR2,Gonolobus productus Torr.,,
10787,BODI2,BOOBE,Botrychium obliquum Muhl. ex Willd. var. elongatum Gilbert & Haberer,,
63884,PETUT,,Penstemon tubaeflorus Nutt. var. tubaeflorus,white wand beardtongue,Scrophulariaceae
