,symbol,synonymSymbol,scientificNameWithAuthor,commonName,family
62288,PEAZA2,,Penstemon azureus Benth. ssp. azureus,azure penstemon,Scrophulariaceae
19563,CIDOB2,CIBRL,Cirsium breweri (A. Gray) Jeps. var. lanosissimum Petr. p.p.,,
89479,TUDA2,,Tulipa dasystemon (Regel) Regel,,Liliaceae
32657,ERGL11,ERAR2,"Erechtites arguta (A. Rich.) DC., orth. var.",,
29245,DRINP,DRPE5,Draba peasei Fernald,,
1409,AESY,AESYL,Aesculus sylvatica W. Bartram var. lanceolata (Sarg.) W. Bartram,,
66300,PIMA12,,Pityrogramma ×mackenneyi W.H. Wagner,goldback fern,Pteridaceae
64653,PHGL,,Phacelia glabra Nutt.,smooth phacelia,Hydrophyllaceae
74362,RILE8,,Rinodina lepida (Nyl.) Müll. Arg.,rinodina lichen,Physciaceae
79556,SCTU2,SCTUS,Scutellaria tuberosa Benth. var. similis Jeps.,,
56617,MONST,,Monstera Adans.,monstera,Araceae
54434,MELA13,,Melaleuca lanceolata Otto,moonah,Myrtaceae
86689,THHE6,,Thelypteris heterocarpa (Blume) C.V. Morton,maiden fern,Thelypteridaceae
87806,TOTA,,Torreya taxifolia Arn.,Florida nutmeg,Taxaceae
86737,THIN6,AGTR6,Agropyron trichophorum (Link) K. Richt.,,
61400,PALO18,,Paspalum longifolium Roxb.,longleaf paspalum,Poaceae
296,ACBU4,,Acer buergerianum Miq.,trident maple,Aceraceae
57337,MYSI2,MYGR2,Myurella gracilis Lindb.,,
56768,MUAC,MUZE,Musa zebrina Van Houtte ex Planch.,,
4817,APDI2,,Aphanolejeunea diaphana (A. Evans) R.M. Schust.,,Lejeuneaceae
33689,ERRE,POPER,Poa pectinacea Michx. var. refracta (Muhl.) Chapm.,,
14553,CALAA,CALAA3,Carex lanuginosa Michx. var. americana (Fernald) B. Boivin,,
16742,CAVE6,CAVED,Carex vesicaria L. var. distenta Fr.,,
52625,MAAL13,PAAL14,Pachyptera alliacea (Lam.) A.H. Gentry,,
59407,ONWA70,CYWA12,Cynodontium wahlenbergii (Brid.) Hartm.,,
8544,ASSE7,,Astragalus sesquiflorus S. Watson,sandstone milkvetch,Fabaceae
83184,SPST3,SPBES,Spiraea beauverdiana C.K. Schneid. var. stevenii C.K. Schneid.,,
460,ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,
29089,DRCE,DRGOC,"Dryopteris goldiana (Hook. ex Goldie) A. Gray ssp. celsa Wm. Palmer, orth. var.",,
87789,TOSI2,,Tortula sinensis (Müll. Hal.) Broth.,China tortula moss,Pottiaceae
20054,CLAR,GOHI6,Godetia hispidula S. Watson,,
87389,TIKO,,Timonius korrensis Kaneh.,Koror timonius,Rubiaceae
32229,ERCEC,,Eriogonum cernuum Nutt. var. cernuum,nodding buckwheat,Polygonaceae
22947,CRCIL,CRJAL,Cryptantha jamesii Payson var. laxa (J.F. Macbr.) Payson,,
68081,POCA26,,Polypodium calirhiza S. Whitmore & A.R. Sm.,nested polypody,Polypodiaceae
88828,TRMIB2,,Trifolium michelianum Savi ssp. balansae (Boiss.) Ponert,Balansa clover,Fabaceae
20927,CLSU64,CLGO,Cladonia gonecha (Ach.) Asah.,,
16572,CATHA2,,Catha Forssk. ex Scop.,catha,Celastraceae
16171,CASE24,CAPUT3,Calamagrostis purpurascens R. Br. var. tasuensis (Calder & Roy L. Taylor) B. Boivin,,
52832,MACAC3,ASGL8,Aster glossophyllus Piper,,
68996,POMA34,POCOM,Potentilla concinna Richardson var. macounii (Rydb.) C.L. Hitchc.,,
53873,MATO6,MASIS,Malus sieboldii (Regel) Rehder var. sieboldii,,
26164,DAPA6,LEIN27,Leciographa inspersa (Tul.) Rehm.,,
14021,CAGI,,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub,Fabaceae
33441,ERPA27,,Eriachne pallescens R. Br.,,Poaceae
8943,ATFIA,ATFIR,Athyrium filix-femina (L.) Roth var. rubellum Gilbert,,
45940,KRCA,KRCE,"Krigia cespitosa (Raf.) K.L. Chambers, orth. var.",,
48550,LESH3,,Lecania shastensis Herre,Shasta lecania lichen,Bacidiaceae
19974,CIVI,CAVI10,Carduus virginianus L.,,
36920,FRRUM,RHRUM,Rhamnus rubra Greene ssp. modocensis C.B. Wolf,,
23131,CREPI,,Crepis L.,hawksbeard,Asteraceae
91104,VIAS3,,Vicia assyriaca Boiss.,,Fabaceae
30888,ELPA5,ELPAA,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer var. anachaeta (Britton) Svens.",,
24161,CRVIV2,CRVIL3,Crataegus viridis L. var. lutensis (Sarg.) Palmer,,
53730,MASA3,SISA8,Sida sagittifolia (A. Gray) Rydb.,,
58525,NYTH,,Nymphaea ×thiona Ward,waterlily,Nymphaeaceae
67941,POBAT,POTRI,Populus trichocarpa Torr. & A. Gray ex Hook. var. ingrata (Jeps.) Jeps.,,
46586,LARO2,,Lathyrus roseus Steven,,Fabaceae
76724,SADE3,SANUD2,Saussurea nuda Ledeb. ssp. densa (Hook.) G.W. Douglas,,
5009,ARAL22,PLAL7,Pleuridium alternifolium (Hedw.) Brid.,,
90858,VERBE2,,Verbesina L.,crownbeard,Asteraceae
48986,LICA10,NEBA2,Neottia banksiana (Lindl.) Rchb.f.,,
69251,POPA33,,Polygonum paronychioides Small ex Rydb.,knotweed,Polygonaceae
55019,MESU10,,Melanelia subelegantula (Essl.) Essl.,melanelia lichen,Parmeliaceae
63379,PEPA54,,Peperomia parvulifolia Trel.,short-spike peperomia,Piperaceae
32799,ERHIH2,,Erechtites hieraciifolius (L.) Raf. ex DC. var. hieraciifolius ,American burnweed,Asteraceae
58883,OEFRF,KNAR2,Kneiffia arenicola Small,,
68421,POEF,POHIE,Potentilla hippiana Lehm. ssp. effusa (Douglas ex Lehm.) Dorn,,
59416,OOFOM,,Oonopsis foliosa (A. Gray) Greene var. monocephala (A. Nelson) Kartesz & Gandhi,Raven Ridge false goldenweed,Asteraceae
21354,COCO31,AMCO16,Amblystegium compactum (Müll. Hal.) Austin,,
61467,PAMI25,SEME5,Senecio memmingeri Britton,,
65055,PHLOL2,PHLOL5,Phlox longifolia Nutt. var. linearifolia (Hook.) Brand,,
43928,IPAR2,GIAGA2,Gilia aggregata (Pursh) Spreng. var. arizonica (Greene) Fosberg,,
4417,ANPIP,,Aneura pinguis (L.) Dumort. var. pinguis,,Aneuraceae
87543,TOCA2,GLCA4,Glyceria californica Beetle,,
56422,MOCL,,Monarda clinopodia L.,white bergamot,Lamiaceae
54838,MEPOP5,,Melica porteri Scribn. var. porteri,Porter's melicgrass,Poaceae
13510,CACO38,CACOC5,Caulanthus coulteri S. Watson var. coulteri,,
71685,PUTEL,PULA,Puccinellia langeana (Berlin) T.J. Sørensen ex Hultén,,
22293,CORO13,,Cotoneaster rotundifolius Wall. ex Lindl.,,Rosaceae
82122,SONNE,,Sonneratia L. f.,,Sonneratiaceae
32019,ERAR32,,Erigeron ×arthurii B. Boivin,fleabane,Asteraceae
33304,ERNI7,,Eriocaulon nigrobracteatum Bridges & Orzell,blackbract pipewort,Eriocaulaceae
47597,LEHO,,Lessingia hololeuca Greene,woollyhead lessingia,Asteraceae
54762,MEPEP,,Melothria pendula L. var. pendula,Guadeloupe cucumber,Cucurbitaceae
83138,SPSA3,,Sphaerophysa salsula (Pall.) DC.,alkali swainsonpea,Fabaceae
38608,GLEDI,,Gleditsia L.,locust,Fabaceae
23828,CRRO5,CRMAL,Crotalaria maritima Chapm. var. linaria (Small) H. Senn,,
89066,TRPR,,Tragopogon pratensis L.,Jack-go-to-bed-at-noon,Asteraceae
87556,TOCO,,Tofieldia coccinea Richardson,northern asphodel,Liliaceae
31327,ENLE,,Endocarpon lepidallum Nyl.,chalice lichen,Verrucariaceae
60183,ORUN,ORPU7,Orobanche purpurea Jacq.,,
11663,BRJU,BRIN3,Brassica integrifolia Rupr.,,
32094,ERBLB,,Erigeron bloomeri A. Gray var. bloomeri,scabland fleabane,Asteraceae
76796,SAEB2,,Samolus ebracteatus Kunth,limewater brookweed,Primulaceae
33065,ERLUS,,Eriogonum luteolum Greene var. saltuarium Reveal,goldencarpet buckwheat,Polygonaceae
1608,AGEL,,Agoseris elata (Nutt.) Greene,tall agoseris,Asteraceae
54563,MEME8,NEMEA4,Neckera menziesii Hook. var. amblyclada Kindb.,,
49316,LIIN5,,Limnophila indica (L.) Druce,Indian marshweed,Scrophulariaceae
21302,COCAP3,COPA17,Conyza parva Cronquist,,
79525,SCTE11,GRTE6,Grimmia tenera J.E. Zetterst.,,
19928,CITE2,,Cirsium texanum Buckley,Texas thistle,Asteraceae
41143,HEPO2,,Helenium ×polyphyllum Small (pro sp.),sneezeweed,Asteraceae
2736,ALPEP,,Allium perdulce S.V. Fraser var. perdulce,plains onion,Liliaceae
61719,PAPU5,PAGE3,Paspalum geminum Nash,,
61347,PALA10,PACI8,Paspalum circulare Nash,,
91855,VIUNU,,Vigna unguiculata (L.) Walp. ssp. unguiculata,southern pea,Fabaceae
514,ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,
4487,ANQUB2,ANNEB,Anemone nemorosa L. var. bifolia (Farw.) B. Boivin,,
21336,COCO14,OPCO14,Opuntia corallicola (Small) Backeb.,,
50996,LUAG,LUGR4,"Lupinus gracilis J. Agardh, non Nutt.",,
51835,LUPAF,,Lupinus parviflorus Nutt. ex Hook. & Arn. ssp. floribundus (Greene) Harmon,lodgepole lupine,Fabaceae
56180,MISP6,,Miconia splendens (Sw.) Griseb.,white-flower johnnyberry,Melastomataceae
77853,SAPLP4,SAPHM,Salix phylicifolia L. var. monica (Bebb) Jeps.,,
37954,GECA10,GEEL,Gentiana elliottii Chapm.,,
86417,THAL7,THAL9,Thamnium alleghaniense (Müll. Hal.) A. Jaeger,,
46961,LEAU7,,Lecidea auriculata Th. Fr.,lecidea lichen,Lecideaceae
866,ACPE13,,Achnatherum perplexum Hoge & Barkworth,New Mexico needlegrass,Poaceae
56152,MISC,MIBA5,Mikania batatifolia auct. non DC.,,
41801,HIKAK2,HICAK,Hieracium canadense Michx. var. kalmii (L.) Scoggan,,
54470,MELAS,,Melastoma L.,melastoma,Melastomataceae
84091,STOC,STOC3,Stenanthella occidentalis (A. Gray) Rydb.,,
54351,MEHA4,PEHAR3,Pelea hawaiensis Wawra var. rubra (Rock) B.C. Stone,,
76078,RUSI4,,Rubus sieboldii Blume,palmleaf dewberry,Rosaceae
51754,LUNI2,,Lupinus nipomensis Eastw.,Nipomo Mesa lupine,Fabaceae
48033,LENE5,,Lewisia nevadensis (A. Gray) B.L. Rob.,Nevada lewisia,Portulacaceae
46956,LEAU2,SCAU8,Scorzoneroides autumnalis (L.) Moench,,
64017,PHAL9,,Phacelia alba Rydb.,white phacelia,Hydrophyllaceae
24900,CYFU9,,Cyperus fugax Liebm.,withering flatsedge,Cyperaceae
81865,SOCI,,Solanum citrullifolium A. Braun,watermelon nightshade,Solanaceae
968,ACRUA8,ACRUA,Actaea rubra (Aiton) Willd. var. arguta (Nutt.) G. Lawson,,
37727,GASEW,,Galium serpenticum Dempster ssp. warnerense Dempster & Ehrend.,Warner Mountains bedstraw,Rubiaceae
39393,GUDED,BRDE6,Brayulinea densa (Humb. & Bonpl. ex Schult.) Small,,
64342,PHCIH2,PHCIH4,Phacelia cicutaria Greene ssp. hispida (A. Gray) R.M. Beauch. ex Thorne,,
63957,PHAC3,,Phyllanthus acidus (L.) Skeels,Tahitian gooseberry tree,Euphorbiaceae
3880,ANDI2,ANDII,Antennaria dimorpha (Nutt.) Torr. & A. Gray var. integra L.F. Hend.,,
55877,MIMIM,MIMI15,Minuopsis michauxii (Fenzl) W.A. Weber,,
12672,CAALA2,CAPH4,Carex physorhyncha Liebm. ex Steud.,,
17470,CEOL,CEOLO,Ceanothus oliganthus Nutt. var. orcuttii (Parry) Jeps.,,
53636,MARA5,,Matelea radiata Correll,falfurrias milkvine,Asclepiadaceae
23759,CRPTP2,,Cryptantha pterocarya (Torr.) Greene var. pterocarya,wingnut cryptantha,Boraginaceae
41017,HENRY,,Henrya Nees ex Benth.,henrya,Acanthaceae
31803,EQAR,,Equisetum arvense L.,field horsetail,Equisetaceae
30805,ELMU,,Elaeagnus multiflora Thunb.,cherry silverberry,Elaeagnaceae
89760,URDIH,,Urtica dioica L. ssp. holosericea (Nutt.) Thorne,stinging nettle,Urticaceae
35417,EUSA15,,Eurybia saxicastellii (J.J.N. Campbell & M. Medley) G.L. Nesom,rockcastle aster,Asteraceae
19388,CHVIA4,,Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. axillaris (D.D. Keck) L.C. Anderson,yellow rabbitbrush,Asteraceae
34714,EUFE6,,Euryale ferox Salisb.,euryale,Nymphaeaceae
35728,FACIW,FAWRI,Fabronia wrightii Sull. var. intermedia Grout,,
69545,PORI3,POMI6,Potentilla millegrana Engelm. ex Lehm.,,
58222,NOFEF,THPR3,Thlaspi prolixum A. Nelson,,
32411,ERDA,,Eriogonum darrovii Kearney,Darrow's buckwheat,Polygonaceae
1382,AEPA,,Aesculus pavia L.,red buckeye,Hippocastanaceae
64150,PHAU7,PHCOB,Phragmites communis Trin. ssp. berlandieri (Fourn.) Á. Löve & D. Löve,,
7771,ASGU,,Astragalus gummifer Labill.,gum tragacanth milkvetch,Fabaceae
23698,CRPL5,,Craterostigma plantagineum Hochst.,blue gem,Scrophulariaceae
44602,ISMY2,ISSPC,"Isothecium spiculiferum (Mitt.) Renauld & Cardot var. cardotii (Kindb.) H.A. Crum, Steere & L.E. Anderson",,
47071,LECA5,,Lepidium campestre (L.) W.T. Aiton,field pepperweed,Brassicaceae
63036,PELA8,,Penstemon laevigatus Aiton,eastern smooth beardtongue,Scrophulariaceae
31491,EPAU2,,Epaltes australis Less.,,Asteraceae
85770,TAPA2,TARE2,Talinum reflexum Cav.,,
12220,BRVEV2,BRID3,Brachythecium idahense Renauld & Cardot,,
21124,COAMA2,,Corispermum americanum (Nutt.) Nutt. var. americanum,American bugseed,Chenopodiaceae
84453,STTI,RICA4,Rivea campanulata auct. non (L.) House,,
36295,FISE2,,Fingerhuthia sesleriiformis Nees,thimble grass,Poaceae
36198,FIHA4,,Fissidens hallianus (Sull. & Lesq.) Mitt.,fissidens moss,Fissidentaceae
42333,HOPI3,,Homostegia piggotii (Berk. & Broome) P. Karst.,,Uncertain Ascomycota Family
25425,CYPA5,CYPAM2,Cypripedium passerinum Richardson var. minganense Vict.,,
3408,AMPEL4,,Ampelaster G.L. Nesom,climbing aster,Asteraceae
70646,PSCA,PSLI3,Psidium littorale Raddi,,
63893,PEUR,,Peperomia urocarpa Fisch. & C.A. Mey.,Brazilian peperomia,Piperaceae
44975,JAPE,,Jacquemontia pentanthos (Jacq.) G. Don,skyblue clustervine,Convolvulaceae
72641,RAAQ,,Ranunculus aquatilis L.,white water crowfoot,Ranunculaceae
48959,LIBI5,,Linum bienne Mill.,pale flax,Linaceae
5895,ARHOP3,ARPI3,Arabis pinetorum Tidestr.,,
73431,RHCA11,RHSM2,Rhynchospora smallii Britton,,
72367,QULO,QUHI2,Quercus hindsii Benth.,,
3323,AMMA5,AMMA2,"Ampelodesmos mauritanica (Poir.) T. Dur. & Schinz, orth. var.",,
23565,CRNE8,,Cryphaea nervosa (Hook. & Wilson) Müll. Hal.,cryphaea moss,Cryphaeaceae
67082,PLHI,PLDE5,Platanus densicoma Dode,,
42003,HIVE,HIVEN,Hieracium venosum L. var. nudicaule (Michx.) Farw.,,
88970,TROVO2,,Trillium ovatum Pursh ssp. ovatum,Pacific trillium,Liliaceae
65575,PHSC14,,Phymatosorus scolopendria (Burm. f.) Pic. Serm.,monarch fern,Polypodiaceae
1007,ACSC11,STSC2,Stipa scribneri Vasey,,
34046,ERUNU,ERCA24,Erigeron cavernensis S.L. Welsh & N.D. Atwood,,
11506,BRFE4,,Brachythecium fendleri (Sull.) A. Jaeger,Fendler's brachythecium moss,Brachytheciaceae
90838,VEPOP,,Vesicarpa potentilloides (A. Gray) Rydb. var. potentilloides,fivefinger chickensage,Asteraceae
48734,LEUCA,,Leucaena Benth.,leadtree,Fabaceae
78044,SARO12,,Salix rosmarinifolia L.,,Salicaceae
80008,SEJA3,,Sesbania javanica Miq.,,Fabaceae
63956,PHAC2,,Phlox aculeata A. Nelson,sagebrush phlox,Polemoniaceae
36487,FOENI,,Foeniculum Mill.,fennel,Apiaceae
82166,SOPI,,Solidago pinetorum Small,Small's goldenrod,Asteraceae
37284,GABO2,GABOS3,Galium boreale L. var. scabrum DC.,,
8818,ASXI,ASCOX,Astragalus convallarius Greene var. xiphoides Barneby,,
10905,BOLI2,BOTE9,Boerhavia tenuifolia A. Gray,,
72391,QUMA5,,Quercus macrolepis Kotschy,Vallonea oak,Fagaceae
57407,NAAT,NAHAF2,Navarretia hamata Greene var. foliacea (Greene) Thorne,,
3838,ANCO,ANNA2,Antennaria nardina Greene,,
83257,SPVA,,Sporobolus vaginiflorus (Torr. ex A. Gray) Alph. Wood,poverty dropseed,Poaceae
40177,HEAR11,CRAR4,Crocanthemum arenicola (Chapm.) Barnhart,,
82062,SOMA3,SOAU4,Solanum auriculatum Aiton,,
91972,VUMIP,FEMIS,Festuca microstachys Nutt. var. simulans (Hoover) Hoover,,
85935,TECA8,,Tecoma capensis (Thunb.) Lindl.,Cape honeysuckle,Bignoniaceae
32065,ERBAP,ERBAD,Eriogonum baileyi S. Watson var. divaricatum (Gandog.) Reveal,,
38009,GECUT,GECUT2,Geranium cuneatum Hook. ssp. tridens (Hillebr.) Carlq. & Bissing,,
59331,ONEC,,Onosma echioides L.,onosma,Boraginaceae
30703,ELKA,,Eleocharis kamtschatica (C.A. Mey.) Kom.,Kamchatka spikerush,Cyperaceae
27610,DIDI15,,Diospyros digyna Jacq.,black sapote,Ebenaceae
54103,MEBR10,,Melaleuca bracteata F. Muell.,river teatree,Myrtaceae
32081,ERBI7,,Erigeron biolettii Greene,Bioletti's fleabane,Asteraceae
82938,SPLO,,Sphenopholis longiflora (Vasey) Hitchc.,Texas wedgescale,Poaceae
43505,HYTET,HYIR,Hygroamblystegium irriguum (Hook. & Wilson) Loeske,,
8545,ASSE7,ASSEB,Astragalus sesquiflorus S. Watson var. brevipes Barneby,,
49048,LICAE,LICAR2,Lilium canadense L. var. rubrum hort. ex T. Moore,,
59039,OEPE,KNPE,Kneiffia perennis (L.) Pennell,,
55788,MILI3,OXAN,Oxybaphus angustifolius Sweet,,
74564,RITR5,,Riccia trichocarpa M. Howe,,Ricciaceae
17990,CHBL2,EUCH6,Euphorbia chiogenes (Small) Oudejans,,
8247,ASOF,,Asparagus officinalis L.,garden asparagus,Liliaceae
7227,ASAR3,,Astragalus aretioides (M.E. Jones) Barneby,cushion milkvetch,Fabaceae
66597,PITA4,,Pinus tabuliformis Carrière,southern Chinese pine,Pinaceae
59358,ONOR,,Ononis ornithopodioides L.,,Fabaceae
66034,PICO4,PICLG,Pittosporum cladanthum Sherff var. gracilipes Sherff,,
27066,DEPU6,ASPU14,Asimina pulchella (Small) G.A. Zimmerman,,
64971,PHLA3,LILAR,Lippia lanceolata Michx. var. recognita Fernald & Grisc.,,
51439,LUDU,,Lupinus duranii Eastw.,Mono Lake lupine,Fabaceae
179,ABVIA,,Abronia villosa S. Watson var. aurita (Abrams) Jeps.,desert sand verbena,Nyctaginaceae
77309,SALU2,SACOW,Salix cordata Muhl. var. watsonii Bebb,,
87080,THRE5,,Thelypteris reticulata (L.) Proctor,latticevein fern,Thelypteridaceae
52972,MACOC,HACO5,Haplopappus coloradoensis (A. Gray) R.L. Hartm. ex Dorn,,
82610,SPCO12,SPBEC2,Spiraea betulifolia Pall. ssp. corymbosa (Raf.) Roy L. Taylor & MacBryde,,
24058,CRTE5,,Cryptantha texana (A. DC.) Greene,pick me nots,Boraginaceae
82057,SOMA10,,Sobralia macrantha Lindl.,,Orchidaceae
39411,GUFR,PIFR2,Pisonia fragrans Dum. Cours.,,
9837,BARTR3,,Bartramiopsis Kindb.,bartramiopsis moss,Polytrichaceae
29107,DRCO2,,Drymaria cordata (L.) Willd. ex Schult.,whitesnow,Caryophyllaceae
92108,WEBST,,Websteria S.H. Wright,algal bulrush,Cyperaceae
88283,TREC3,LAEC3,Lasiochloa echinata (Thunb.) Henrard,,
879,ACPIC2,ACCA2,Acaena californica Bitter,,
34390,EUAP4,,Eucalyptus approximans Maiden,,Myrtaceae
17551,CEPU10,CEGE2,Celtis georgiana Small,,
84733,SYCO2,,Symphyotrichum ×columbianum (Piper) G.L. Nesom,aster,Asteraceae
21267,COCA70,,Coscinodon calyptratus (Hook.) C.E.O. Jensen ex Kindb.,coscinodon moss,Grimmiaceae
31963,ERAN4,,Eriogonum annuum Nutt.,annual buckwheat,Polygonaceae
90937,VETU2,,"Vermilacinia tuberculata (Riefner, Bowler, J.E. Marsh & T.H. Nash) Spjut",,Ramalinaceae
6721,ARRU12,,Armeria rumelica Boiss.,,Plumbaginaceae
2005,AGTEP2,,Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell,slenderleaf false foxglove,Scrophulariaceae
55182,MIACB,MIBIG,Mimosa biuncifera Benth. var. glabrescens A. Gray,,
57402,NAARM,,Nama aretioides (Hook. & Arn.) Brand var. multiflorum (A. Heller) Jeps.,ground nama,Hydrophyllaceae
69736,POSM,,Portulaca smallii P. Wilson,Small's purslane,Portulacaceae
6626,ARPUN,ARNE9,Aristida nealleyi (Vasey) Vasey,,
59129,OEXE,,Oenothera xerogaura W.L. Wagner & Hoch,Drummond's beeblossom,Onagraceae
28416,DISE14,,Dianthus seguieri Villemorin,ragged pink,Caryophyllaceae
62879,PEHE,PEPEH,Pectocarya penicillata (Hook. & Arn.) A. DC. var. heterocarpa I.M. Johnst.,,
88118,TRCE3,SCCAD2,"Scirpus caespitosus L. var. delicatulus Fernald, orth. var.",,
78329,SATW,SARO8,"Salix rotundifolia Nutt., non Trautv.",,
70904,PSJA2,,Pseudostellaria jamesiana (Torr.) W.A. Weber & R.L. Hartm.,tuber starwort,Caryophyllaceae
57589,NAPO,,Narcissus poeticus L.,poet's narcissus,Liliaceae
77293,SALME,,Salmea DC.,bejuco de miel,Asteraceae
88481,TRHY,TREL12,Trifolium elegans Savi,,
52173,LYAS,LYLU2,Lycopus lucidus auct. non Turcz. ex Benth. p.p.,,
21988,COMOH,COHI2,Cordylanthus hispidus Pennell,,
29344,DRORO,,Draba oreibata J.F. Macbr. & Payson ex Payson var. oreibata,limestone draba,Brassicaceae
82351,SOST4,,Sophora stenophylla A. Gray,fringeleaf necklacepod,Fabaceae
61296,PAHY3,PAAPM2,Papaver apulum Ten. var. micranthum auct. non (Boreau) Fedde,,
50617,LOPA9,,Lomatium pastorale Darrach & D.H.Wagner,Umatilla biscuitroot,Apiaceae
75397,RUDE3,RUDEK,Rumex dentatus L. ssp. klotzschianus (Meisn.) Rech. f.,,
37194,GAAM3,,Gamochaeta americana (Mill.) Weddell,American everlasting,Asteraceae
76522,SACA10,SPCA11,Spergella caespitosa (J. Vahl) Á. Löve & D. Löve,,
25197,CYLO11,,Cynanchum louiseae Kartesz & Gandhi,Louise's swallow-wort,Asclepiadaceae
39549,GYDI2,,Gymnocarpium disjunctum (Rupr.) Ching,Pacific oakfern,Dryopteridaceae
77586,SANI7,,Sagina nivalis (Lindbl.) Fr.,snow pearlwort,Caryophyllaceae
45576,JUTE,JUMA7,Juncus macer Gray,,
91675,VIRA3,,Viola ×ravida House,hybrid violet,Violaceae
44711,ISTE5,ISECM2,Isoetes echinospora Durieu var. muricata (Durieu) Engelm.,,
13587,CACR4,,Carex crawfordii Fernald,Crawford's sedge,Cyperaceae
84728,SYCI2,BRCI6,Brachyactis ciliata (Ledeb.) Ledeb.,,
21809,COLA4,,Cordylanthus laxiflorus A. Gray,nodding bird's-beak,Scrophulariaceae
22833,CRCA,CRCAM2,Crataegus calpodendron (Ehrh.) Medik. var. microcarpa (Chapm.) Palmer,,
37825,GAVEV,,Galium verum L. var. verum,Yellow Spring bedstraw,Rubiaceae
29079,DRCA2,,Drosera capillaris Poir.,pink sundew,Droseraceae
68113,POCAV,,Potentilla canadensis L. var. villosissima Fernald,dwarf cinquefoil,Rosaceae
83346,STAMA2,STAMA4,Streptopus amplexifolius (L.) DC. ssp. americanus (Schult. & Schult. f.) Á. Löve & D. Löve,,
80288,SEPOC,,Senegalia polyacantha (Willd.) Seigler & Ebinger ssp. campylacantha (Hochst. ex A. Rich.) Kyal. & Bo,,Fabaceae
38903,GOHY,,Gochnatia hypoleuca (DC.) A. Gray,shrubby bullseye,Asteraceae
43671,ILMU,VAMU2,Vaccinium mucronatum L.,,
21754,COIN11,,Coenogonium interpositum Nyl.,coenogonium lichen,Gyalectaceae
87157,THSP3,,Thelocarpon sphaerosporum H. Magn.,thelocarpon lichen,Acarosporaceae
36638,FRALM,FRPA6,Frasera pahutensis Reveal,,
90157,VADA3,,Vachellia davyi (N.E. Br.) Kyal. & Boatwr.,,Fabaceae
3132,AMCH3,SECH3,Selinocarpus chenopodioides A. Gray,,
8473,ASROA,,Astragalus robbinsii (Oakes) A. Gray var. alpiniformis (Rydb.) Barneby ex C.L. Hitchc.,Robbins' milkvetch,Fabaceae
5838,ARHI4,ARPLH3,Argemone platyceras Link & Otto var. hispida (A. Gray) Prain,,
34962,EULA7,,Eupatorium lancifolium (Torr. & A. Gray) Small,lanceleaf thoroughwort,Asteraceae
59776,OPST6,,"Opegrapha staurothelicola (Fink) ?, ined.?",,Opegraphaceae
70387,PRPAP4,MAPA16,Martynia parviflora Wooton,,
21940,COMI12,,Coronilla minima L.,,Fabaceae
557,ACIDA,,Acidanthera Hochst.,acidanthera,Iridaceae
25470,CYPH2,,Cyperus phleoides (Nees ex Kunth) Hillebr.,Molokai flatsedge,Cyperaceae
83759,STGR8,,Stereocaulon groenlandicum (E. Dahl) Lamb,Greenland snow lichen,Stereocaulaceae
15966,CARO5,CADEB3,Carex deflexa Hornem. var. bootii L.H. Bailey,,
12700,CAAM8,CAGRA,Carex grisea Wahlenb. var. amphibola (Steud.) Kük.,,
43018,HYHYH,ASHYO,Ascyrum hypericoides L. var. oblongifolium (Spach) Fernald,,
9412,BAAR,,Baptisia arachnifera Duncan,cobwebby wild indigo,Fabaceae
21683,COGR6,COOFA,Cochlearia officinalis L. ssp. arctica (Schltdl.) Hultén,,
18519,CHHA2,CHREW,Chamaesyce remyi (A. Gray ex Boiss.) Croizat & O. Deg. var. wilkesii (Sherff) O. Deg. & I. Deg.,,
74056,RHTRS,RHARS3,Rhus aromatica Aiton var. simplicifolia (Greene) Cronquist,,
31645,EPILO,,Epilobium L.,willowherb,Onagraceae
79274,SCPOT,SCPOP,Scutellaria potosina Brandegee ssp. parviflora Epling,,
77177,SAIN4,MIBI11,Micranthes bidens Small,,
45044,JOPU,ERPUV,Eriogonum puberulum S. Watson var. venosum S. Stokes,,
39713,HABR5,,Hastingsia bracteosa S. Watson,largeflower rushlily,Liliaceae
57391,MYWI2,LEWI3,Leptotrema wightii (Taylor) Müll. Arg.,,
88483,TRHY,TRHYE8,Trifolium hybridum L. ssp. elegans (Savi) Asch. & Graebn.,,
14788,CALU8,,Carya ×ludoviciana (Ashe) Little,hybrid hickory,Juglandaceae
86687,THHE2,,Thalictrum heliophilum Wilken & DeMott,Cathedral Bluff meadow-rue,Ranunculaceae
88929,TROCM2,,Triantha occidentalis (S. Watson) Gates ssp. montana (C.L. Hitchc.) Packer,sticky tofieldia,Liliaceae
68944,POLU,PYLU2,Pylostachya lutea (L.) Small,,
55671,MIGU,MITH2,Mimulus thermalis A. Nelson,,
